official_name,scsc_id_or_code_if_any,city,county,grades_served,website,status_open_closed,notes,source_url,entity_type,date_pulled
D.E.L.T.A. STEAM Academy,783-0633,Lithia Springs,Douglas,K-8,https://www.deltasteam.org/,open,Douglas/South Fulton/South Cobb/Paulding/Carroll; opened 2021,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Dominion Purpose Academy,,Columbus,Muscogee,K-8,,pre_opening_2027,* on master list as 2026; Find-a-School says Opening Fall 2027,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
DuBois Integrity Academy,782-0617,Riverdale,Clayton,K-8,https://www.duboisintegrityacademy.org/,open,Clayton; opened 2015,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Ethos Classical Charter School,783-0628,Atlanta,Fulton,K-6,https://ethosclassical.org/,open,Master list name Ethos Classical; APS/Clayton/Cobb/DeKalb/Douglas/Fulton; opened 2019,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Excelsior Village Academies,783-0648,Stockbridge,Henry,K-4,https://www.excelsiorvillage.org/,open,APS/Clayton/DeKalb/Fulton/Henry; opened 2024,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Fayette Classical Academy,,,Fayette,K-12,,pre_opening_2027,* on master list; Find-a-School Opening Fall 2027,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Four Points Preparatory Academy,783-0650,Braselton,Jackson,K-5,https://www.fourpointsprepacademy.org/,open,Opened 2025; Jackson/Banks/Barrow/Buford City clusters,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Furlow Charter School,783-0626,Americus,Sumter,K-12,https://www.furlowcharter.org/,open,Sumter; opened 2015,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Genesis Academy for Boys,783-0615,Atlanta,Fulton,K-8,https://www.genesisinnovationacademy.org/,open,Statewide; co-campus with Girls academy; opened 2017,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Genesis Academy for Girls,783-0616,Atlanta,Fulton,K-8,https://www.genesisinnovationacademy.org/,open,Statewide; co-campus with Boys academy; opened 2017,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Georgia Connections Academy,782-0412,Duluth,Gwinnett,K-12,https://www.connectionsacademy.com/georgia-virtual-school/,open,Statewide virtual; opened 2011,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Georgia Cyber Academy,782-0120,Atlanta,Fulton,K-12,https://www.georgiacyber.org/,open,Statewide virtual; opened 2014 (ops since ~2007),https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Georgia Fugees Academy Charter School,783-0634,Doraville,DeKalb,6-12,https://www.fugeesfamily.org/georgia-fugees-academy,open,Statewide; refugee-focused; opened 2020,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Georgia School for Innovation & the Classics,782-0616,Hephzibah,Richmond,K-12,https://www.gsiccharter.com/,open,Statewide; opened 2015,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
International Academy of Smyrna,783-0619,Smyrna,Cobb,K-5,https://www.iasmyrna.org/,open,Cobb/Marietta City; may brand as Jonquil Preparatory Academy on SCSC Find-a-School; verify rename,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
International Charter Academy of Georgia,783-0620,Peachtree Corners,Gwinnett,K-7,https://www.internationalcharteracademy.org/,open,Statewide; opened 2019,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
International Charter School of Atlanta,782-0614,Roswell,Fulton,K-8,https://www.internationalcharterschool.org/,open,Statewide; opened 2015,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Ivy Preparatory Academy at Kirkwood,782-0612,Atlanta,DeKalb,K-8,https://www.ivyprepacademy.org/,open,APS/DeKalb clusters; opened 2011,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Liberation Academy,783-0640,College Park,Fulton,5-8,https://www.liberationacademy.org/,open,Statewide; opened 2022,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Liberty Tech Charter School,783-0614,Brooks,Fayette,K-8,https://www.libertytechcharter.org/,open,Statewide; opened 2016,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Miles Ahead Charter School,783-0639,Powder Springs,Cobb,K-6,https://www.milesaheadcharter.org/,open,Statewide; opened 2022,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Movement School South Fulton Elementary,783-0651,Atlanta,Fulton,K-2,https://www.movementschools.org/,open,Opened 2025; APS/Clayton/Fulton/DeKalb,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Northwest Classical Academy,783-0636,Kennesaw,Cobb,K-11,https://www.nwclassical.org/,open,Statewide; opened 2021; expanding toward K-12,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Northwest Georgia Charter Academy,,Cave Spring,Floyd,K-12,,pre_opening_2026,Scheduled to open Fall 2026; Floyd/Rome City/Polk,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Odyssey School,782-0110,Newnan,Coweta,K-8,https://www.odysseycharterschool.org/,open,Coweta + multi-county; opened 2004,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Pataula Charter Academy,783-0210,Edison,Calhoun,K-12,https://www.pataula.net/,open,Baker/Clay/Calhoun/Early/Miller/Randolph/Terrell; opened 2010,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
PEACE Academy,783-0638,Decatur,DeKalb,K-5,https://www.peaceacademycharter.org/,open,Statewide; opened 2022,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Resurgence Hall Charter Academy,783-0617,College Park,Fulton,K-4,https://www.resurgencehall.org/,open,Master list Resurgence Hall Charter Academy; Fulton/APS; opened 2017,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Resurgence Hall Middle Academy,783-0641,East Point,Fulton,5-8,https://www.resurgencehall.org/,open,Statewide; school code 641 on master; opened 2022,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Rocky Creek Charter Academy,783-1065,Augusta,Richmond,K-5,https://www.rockycreekcharter.org/,open,Statewide; opened 2024,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
SAIL - School for Arts-Infused Learning,783-0618,Evans,Columbia,K-8,https://www.sailga.org/,open,Statewide; opened 2017,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Sankofa Montessori School,783-1056.01,Forest Park,Clayton,K-4,https://www.sankofamontessori.org/,open,Statewide; school code 1056.01; opened 2023,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Scintilla Charter Academy,782-0615,Valdosta,Lowndes,K-11,https://www.scintillacharteracademy.com/,open,Brooks/Lowndes/Valdosta City; opened 2015,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
SLAM Academy of Atlanta,783-0621,Atlanta,Fulton,K-8,https://www.slamatlanta.com/,open,APS/South Fulton; opened 2019,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Southwest Georgia STEM Charter,783-0612,Shellman,Randolph,K-12,https://www.sowegastemcharter.org/,open,Master list Southwest Georgia STEM; statewide; opened 2016,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Spring Creek Charter Academy,783-0624,Bainbridge,Decatur,K-12,https://www.springcreekcharteracademy.org/,open,Decatur/Miller/Seminole/Grady; opened 2019,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Statesboro STEAM Academy,783-0103,Statesboro,Bulloch,5-12,https://www.statesborosteam.org/,open,Master list Statesboro STEAM Academy; Bulloch; opened 2002,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
The Anchor School,783-0644,Decatur,DeKalb,6-8,https://www.theanchorschool.org/,open,Statewide; opened 2023,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
The Meliora School,,Snellville,Gwinnett,6-12,,pre_opening_2026,Scheduled to open 2026; * on master list,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
The Simple Vue Academy,783-0652,Douglasville,Douglas,6-7,https://www.thesimplevueacademy.org/,open,Opened 2025; Douglas/Paulding/Fulton/Cobb,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
The Wright Community School,,,DeKalb,6-12,,pre_opening_2027,* on master list; Find-a-School Opening Fall 2027; Henry/Clayton/DeKalb,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Utopian Academy for the Performing Arts - Trilith,782-0426,Fayetteville,Fayette,6-8,https://www.utopianacademy.com/,open,Statewide Trilith campus; opened 2022 — distinct from Clayton locally-approved Utopian campuses,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Yi Hwang Academy of Language Excellence,783-0625,Duluth,Gwinnett,K-7,https://www.yihwangacademy.org/,open,Statewide; opened 2021,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
Zest Preparatory Academy Charter School,783-0645,Douglasville,Douglas,K-5,https://www.zestprep.org/,open,Douglas; opened 2022,https://scsc.georgia.gov/document/document/2025-2026-master-charter-school-list/download,charter,2026-09-06
