state,lea_or_school_name,entity_type,nces_id,tool_class,vendor,product_name,scope,campus_names_if_public,data_collected_summary,pii_or_student_content,lockdown_or_law_enforcement_notify,human_verification,status,first_public_date,last_verified_at,sources,notes,districts_csv_match,host_lea_districts_csv_match
NJ,Greater Egg Harbor Regional School District,traditional_lea,,camera_ai_gun_detect,ZeroEyes,ZeroEyes AI Gun Detection,multi_campus,Absegami High School;Cedar Creek High School;Oakcrest High School,CCTV video frames scanned for visible firearms,unknown,unknown,vendor_soc,deployed,2023-11-29,2026-09-13,https://www.prnewswire.com/news-releases/greater-egg-harbor-regional-school-district-deploys-zeroeyes-ai-gun-detection-solution-to-protect-students-and-faculty-302000103.html,Nov 29 2023 PR: deployed across all three comprehensive high schools named in release. Unmatched: LEA not in districts.csv map (out-of-universe for GA/TN/WA).,,
VA,Appomattox County Public Schools,traditional_lea,,camera_ai_gun_detect,ZeroEyes,ZeroEyes AI Gun Detection,districtwide,,CCTV video frames scanned for visible firearms,unknown,unknown,vendor_soc,deployed,2024-03-21,2026-09-13,https://www.prnewswire.com/news-releases/appomattox-county-public-schools-to-deploy-zeroeyes-ai-gun-detection-and-intelligent-situational-awareness-platform-302094938.html;https://wset.com/news/local/see-it-new-weapons-detection-system-in-use-for-appomattox-county-public-schools-safety-cameras-firearms-attack-shooter-security-law-enforcement-august-2024;https://www.wsls.com/news/local/2024/03/22/appomattox-county-public-schools-installing-software-that-uses-ai-to-detect-guns/,Mar 2024 announce; Aug 2024 local TV reported system in use across four schools / 200+ cameras; ~$50k/year via security grant. Unmatched: LEA not in districts.csv map (out-of-universe for GA/TN/WA).,,
IL,Thornton Township High School District 205,traditional_lea,,camera_ai_gun_detect,ZeroEyes,ZeroEyes AI Gun Detection,multi_campus,Thornridge High School;Thornton High School;Thornwood High School,CCTV video frames scanned for visible firearms,unknown,unknown,vendor_soc,deployed,2026-06-16,2026-09-13,https://www.prnewswire.com/news-releases/thornton-township-high-school-district-205-deploys-zeroeyes-ai-gun-detection-and-intelligent-situational-awareness-technology-302801107.html;https://www.securitymagazine.com/articles/102372-thornton-township-high-school-district-implements-zeroeyes;https://campussecuritytoday.com/articles/2026/06/16/illinois-district-adopts-ai-gun-detection-technology.aspx,"Jun 16 2026 PR/local trade: deployed across three named high schools (~5,500 students). Unmatched: LEA not in districts.csv map (out-of-universe for GA/TN/WA).",,
FL,Sarasota County Schools,traditional_lea,,camera_ai_gun_detect,Omnilert,Omnilert Gun Detect,districtwide,,CCTV video frames scanned for visible firearms,unknown,yes,mixed,deployed,2024-08-28,2026-09-13,https://www.prnewswire.com/news-releases/sarasota-county-schools-selects-omnilert-gun-detect-to-enhance-safety--security-efforts-302233030.html;https://www.omnilert.com/blog/sarasota-schools-selects-omnilert-gun-detect;https://www.yourobserver.com/news/2024/aug/02/sarasota-schools-security/;https://www.fox13news.com/news/how-sarasota-schools-planning-use-ai-keep-students-safe,"Aug 2024: districtwide on 4,800+ cameras after Riverview HS pilot; board spending ~$917k for Omnilert (Your Observer). Automation can notify police / trigger lockdowns per vendor+district statements. Matched to districts.csv FL traditional row after FL roster stub 2026-09-13.",Sarasota County Public Schools,
MD,Baltimore County Public Schools,traditional_lea,,camera_ai_gun_detect,Omnilert,Omnilert Gun Detect,districtwide,,CCTV video frames scanned for visible firearms,unknown,yes,mixed,deployed,2023-08-01,2026-09-13,https://www.baltimoresun.com/2023/10/06/baltimore-county-schools-adds-266m-technology-purporting-to-detect-guns-using-ai-to-7000-cameras/,"Baltimore Sun Oct 2023: board approved $2.66M Omnilert contract through May 2027 covering ~7,000 cameras; software can notify police or lock doors per reporting. Unmatched: LEA not in districts.csv map (out-of-universe for GA/TN/WA).",,
MD,Charles County Public Schools,traditional_lea,,camera_ai_gun_detect,Omnilert,Omnilert Gun Detect,districtwide,,CCTV video frames scanned for visible firearms,unknown,yes,mixed,deployed,2023-03-15,2026-09-13,https://www.omnilert.com/blog/charles-county-schools-omnilert-gun-detection;https://www.wusa9.com/article/news/local/maryland/charles-co-public-schools-add-ai-weapon-detectors/65-e9285d08-9ad4-4a33-aae5-39633f7d05d5,"Mar 2023: CCPS selecting Omnilert on ~1,500 cameras; first-year cost ~$207k (WUSA9); exterior cameras first then systemwide activation planned that school year. Unmatched: LEA not in districts.csv map (out-of-universe for GA/TN/WA).",,
MI,Chelsea School District,traditional_lea,,camera_ai_gun_detect,Omnilert,Omnilert Gun Detect,multi_campus,,CCTV video frames scanned for visible firearms,unknown,unknown,mixed,deployed,2023-01-01,2026-09-13,https://www.omnilert.com/case-studies/chelsea-school-district-case-study,"Omnilert case study: early 2023 integration on some interior/exterior cameras across Chelsea MI schools (~2,400 students). Independent news corroboration thin; kept because vendor case page names the LEA. Unmatched: LEA not in districts.csv map (out-of-universe for GA/TN/WA).",,
OH,Lakota Local Schools,traditional_lea,,camera_ai_gun_detect,Omnilert,Omnilert Gun Detect,single_campus,,CCTV video frames scanned for visible firearms,unknown,yes,mixed,announced,2026-06-17,2026-09-13,https://www.prnewswire.com/news-releases/lakota-local-schools-adds-omnilert-gun-detection-to-strengthen-school-safety-302802655.html,"Jun 17 2026 PR: Lakota Local Schools (Kansas, OH; PreK–12 single-campus) adopted Omnilert; supports notifications/lockdown workflows. Status announced (vendor PR). Unmatched: LEA not in districts.csv map (out-of-universe for GA/TN/WA).",,
TN,Metro Nashville Public Schools,traditional_lea,,device_account_monitor,Bark Technologies,Bark for Schools,districtwide,,"Student Microsoft 365 email, OneDrive, and chat content scanned by AI for threats, bullying, self-harm, and explicit images; alerts to designated staff",yes,unknown,district_soc,deployed,2024-04-12,2026-09-13,https://www.mnps.org/departments/technology/digital-safety;https://www.wsmv.com/2024/04/13/metro-schools-using-ai-powered-safety-alerts-monitor-dangerous-activity/;https://www.mnps.org/departments/technology/student-email,Board approved districtwide Bark after pilot (WSMV Apr 2024); MNPS Digital Safety page still lists Bark for Schools for email/account monitoring as of verify date. WSMV: leaders may involve parents or law enforcement. MNPS also uses Securly as CIPA web filter only (not coded as Class B AI threat product).,Metro Nashville Public Schools,
TN,Williamson County Schools,traditional_lea,,device_account_monitor,Gaggle,Gaggle Safety Management,districtwide,,"Student Google Workspace (Gmail, Drive/Docs and related) and Chromebook-associated content scanned with machine learning plus vendor safety experts for suicide/self-harm, violence, drugs/alcohol, and inappropriate images",yes,unknown,mixed,deployed,2019-08-19,2026-09-13,https://www.wcs.edu/resources/technology/district;https://infocus.wcs.edu/archives/2019-20-school-year/district-works-to-keep-students-safe-online;https://www.tennessean.com/story/news/local/williamson/franklin/2019/08/19/williamson-county-school-district-implements-tech-program-identify-intervene-threats-enhance-student/2038956001/,Current WCS Technology District page states Gaggle is used for all student Google Workspace accounts and Chromebooks. Securly Classroom also used for instructional monitoring (classroom management; not separate Class B threat row).,Williamson County Schools,
TN,Bradley County Schools,traditional_lea,,device_account_monitor,Bark Technologies,Bark for Schools,districtwide,,Student Google Workspace and Microsoft 365 account content scanned with AI for safety concerns; parent portal alerts described in local coverage,yes,unknown,unknown,ended,2022-06-01,2026-09-13,https://spotontennessee.com/southeast-tennessee/1314671/county-schools-working-to-make.html;https://meeting.sparqdata.com/Public/Minutes/559?meeting=639807,Jun 2022 Cleveland Daily Banner / Spot On TN: BCS partnering with Bark AI to scan Google Workspace and Microsoft 365. Jun 13 2024 BOE minutes: approved Blocksi as new classroom management/web filtering solution combining features of previously used Senzo and Bark — Bark treated as ended/superseded for this seed; see Blocksi row.,Bradley County Schools,
TN,Bradley County Schools,traditional_lea,,device_account_monitor,Blocksi,Blocksi (classroom management / web filtering with admin alerting),districtwide,,"Student Chromebook browsing/classroom activity with teacher classroom management, principal/admin alerting, and parent controls for home use of school devices",yes,unknown,district_soc,deployed,2024-06-13,2026-09-13,https://meeting.sparqdata.com/Public/Minutes/559?meeting=639807,BOE approved purchase Jun 13 2024 (3-yr proposal attached in minutes). Framed as classroom management + web filtering + alerting + parent portal replacing prior Senzo/Bark feature set. Explicit AI/threat-detection marketing language not in minutes — kept because Blocksi is on Class B example list and minutes document admin alerting on student device activity; revisit if product proves filter-only.,Bradley County Schools,
TN,Lawrence County Schools,traditional_lea,,device_account_monitor,GoGuardian (Liminex),GoGuardian Beacon,districtwide,,Student online activity on school devices analyzed for signals of suicide/self-harm and possible harm to others (Beacon); suite also includes Admin filtering and Teacher classroom tools,yes,unknown,mixed,deployed,,2026-09-13,https://www.goguardian.com/success-stories/lawrence-county-school-system;https://www.goguardian.com/tennessee,GoGuardian TN success story names Lawrence County School System and lists Beacon capability to identify students at risk of suicide or possible harm to others; Admin/Teacher also shown. Independent local news go-live date not recovered in this pass (first_public_date blank). Vendor source primary.,Lawrence County Schools,
TN,Hickman County Schools,traditional_lea,,device_account_monitor,ManagedMethods,Cloud Monitor (Signals),districtwide,,Google Workspace Gmail/Docs/Drive content monitored for student-safety signals including self-harm language; district IT reviews alerts and may escalate to principals/SROs/law enforcement,yes,yes,district_soc,deployed,2019-01-01,2026-09-13,https://managedmethods.com/blog/customer-story-k12-hickman-county-school-district-tn/,Vendor customer story (Feb 17 2026) quotes Tech Director Brad Gilbert: customer since 2019; describes self-harm alert leading to same-day wellness check involving SRO/law enforcement. Primary source is vendor case page.,Hickman County Schools,
TN,Henderson County Schools,traditional_lea,,device_account_monitor,ManagedMethods,Cloud Monitor,districtwide,,"Google Workspace account activity monitored for cybersecurity and student-safety related alerts (logins, content flags) per vendor customer story",yes,unknown,district_soc,deployed,2023-01-01,2026-09-13,https://managedmethods.com/blog/customer-story-k12-henderson-county-schools-tn/,Vendor customer story: Henderson County (Lexington TN) adopted Cloud Monitor in 2023 for Google Workspace security and student safety; Tech Director Thomas Garner quoted. Exact product AI/Signals configuration not fully detailed beyond Cloud Monitor branding.,Henderson County Schools,
TN,Lenoir City City Schools,traditional_lea,,device_account_monitor,ManagedMethods,Cloud Monitor (Signals),districtwide,,"Google Workspace Chat/Drive/Shared Drives/Gmail/Docs content monitored; Signals ML detects self-harm, cyberbullying, and other behavioral risk signals in text and images",yes,unknown,district_soc,deployed,2020-06-01,2026-09-13,https://managedmethods.com/blog/case-study-k12-lenoir-city-schools/,Vendor case study: customer summer 2020; used alongside Securly Auditor for browsing. Signals feature described as ML for self-harm/cyberbullying. lea_or_school_name uses exact districts.csv match Lenoir City City Schools.,Lenoir City City Schools,
GA,Fulton County Schools,traditional_lea,,device_account_monitor,Linewize (Qoria),Linewize Monitor,districtwide,,"AI plus human moderators scan student activity on district-issued devices 24/7 for self-harm, bullying, violence, and other risk signals; screenshots of concerning behavior; alerts to school/district safeguarding contacts",yes,unknown,mixed,deployed,2024-10-31,2026-09-13,https://www.fultonschools.org/all-departments/information-technology/linewize-monitoring;https://roughdraftatlanta.com/2024/10/31/fulton-dekalb-atlanta-schools-monitoring-student-activity/;https://www.wsbtv.com/news/local/fulton-county/fulton-county-school-using-program-protect-students-digitally-heading-into-new-school-year/PHQBH5F7CFGSNOTMUHYCAILTSY/;https://www.linewize.com/resources/case-studies/fulton-county-schools,District FAQ explicitly states Linewize Monitor combines AI with human moderators. Rough Draft (Oct 2024) reported Nov 1 install wave; WSB-TV Aug 2026 said third year of use. Parent Qustodio app also part of Linewize suite (not separate Class B row).,Fulton County Schools,
GA,DeKalb County School District,traditional_lea,,device_account_monitor,Lightspeed Systems,Lightspeed Alert,districtwide,,"AI flags concerning indicators in educational apps, browsers, documents, and more for self-harm, cyberbullying, suicide, and school violence; alerts to DCSD safety personnel and Lightspeed Safety Specialists",yes,unknown,mixed,deployed,,2026-09-13,https://www.lightspeedsystems.com/resources/case-studies/dekalb-county-school-district-trusts-lightspeed-systems-solutions-for-effective-online-learning-and-safety/;https://roughdraftatlanta.com/2024/10/31/fulton-dekalb-atlanta-schools-monitoring-student-activity/,Lightspeed case study quotes CIO Monika Davis and states Lightspeed Alert deployed with vendor Safety Specialists reviewing alerts 24/7. Rough Draft Oct 2024 corroborates Lightspeed Relay filtering districtwide (Alert is vendor case claim). first_public_date blank (customer since 2011 for Lightspeed broadly; Alert start date not independently dated).,DeKalb County School District,
GA,Atlanta Public Schools,traditional_lea,,device_account_monitor,Securly,Securly (filtering + keyword/self-harm alerts),districtwide,,"Student-issued device and internet activity on campus and at home; keyword flags for guns, suicide, self-harm, depression, etc.; teacher/parent portals; real-time admin alerts",yes,unknown,district_soc,deployed,2020-06-01,2026-09-13,https://www.atlantanewsfirst.com/2022/02/14/spying-or-protecting-students-cbs46-investigates-school-surveillance-software/;https://roughdraftatlanta.com/2024/10/31/fulton-dekalb-atlanta-schools-monitoring-student-activity/,"CBS46 (Feb 2022): APS installed Securly summer 2020; IT Exec Dir Femi Aina describes keyword alerts (e.g., gun searches) and weekly flag counts including suicide/self-harm. Rough Draft Oct 2024: APS spokesperson confirms Securly still tracks devices and alerts groups on harmful/concerning searches. Not filter-only.",Atlanta Public Schools,
GA,Clayton County Public Schools,traditional_lea,,device_account_monitor,Gaggle,Gaggle Safety Management,districtwide,,"Student use of Google Workspace, Microsoft 365, and Canvas monitored with AI plus Gaggle safety experts for self-harm, bullying, violence, sexual content, hate speech, drugs/alcohol",yes,unknown,vendor_soc,deployed,2020-02-12,2026-09-13,https://www.gaggle.net/press/gaggle-partners-with-clayton-county-public-schools;https://www.atlantanewsfirst.com/2022/02/14/spying-or-protecting-students-cbs46-investigates-school-surveillance-software/;https://resources.finalsite.net/images/v1748440323/claytonk12gaus/eoxgoja9lktrl45i8njq/GaggleFlyer.pdf;https://www.gaggle.net/suicide-prevention-a-top-priority,Gaggle press release Feb 12 2020 quotes CCPS CTO Rod Smith on implementation. CBS46 2022 district list: Clayton uses Gaggle. District-hosted GaggleFlyer.pdf (Finalsite asset) describes 24/7 monitoring categories. Vendor case video features CCPS Safety & Security Chief Thomas Trawick.,Clayton County Public Schools,
FL,Hillsborough County Public Schools,traditional_lea,,vape_aggression_sensor,Motorola Solutions / SecureUS Solutions,HALO Smart Sensor,multi_campus,All 29 traditional HCPS high schools (district/news reports),"Environmental/air-particle and acoustic sensors for vape/THC, masking agents, elevated noise/aggression indicators; no audio or video recording per vendor/district statements",no,unknown,district_soc,deployed,2026-02-26,2026-09-13,https://www.tampabay28.com/news/region-hillsborough/hillsborough-county-high-schools-roll-out-ai-powered-bathroom-sensors-to-detect-vaping-fights;https://www.wusf.org/education/2026-03-09/florida-matters-hillsborough-county-schools-add-vaping-halo-sensors;https://www.fox13news.com/news/hillsborough-schools-expand-vaping-detector-program;https://baynews9.com/fl/tampa/news/2026/02/26/hillsborough-schools-crack-down-on-student-vaping-with-new-detectors,~300 HALO units (~10/school) for all 29 traditional high schools after multi-campus pilot incl. Bloomingdale HS; install targeted complete by end of May 2026. Partner SecureUS Solutions (Bradenton); HALO by Motorola Solutions. Alerts to school response team app.,Hillsborough County Public Schools,
FL,Hernando County Public Schools,traditional_lea,,camera_ai_gun_detect,ZeroEyes,ZeroEyes AI Gun Detection,districtwide,,CCTV video frames scanned for visible/brandished firearms,unknown,yes,vendor_soc,deployed,2022-01-01,2026-09-13,https://www.prnewswire.com/news-releases/hernando-county-school-district-expands-deployment-of-zeroeyes-ai-based-visual-gun-detection-and-situational-awareness-platform-301805746.html;https://www.fox13news.com/news/hernando-county-to-use-ai-to-detect-school-shooting-threats;https://floridamedianow.com/2025/08/zeroeyes-ai-improves-school-safety/;https://hernandoschools.legistar.com/Gateway.aspx?From=RSS&GUID=BD06C6DA-20C2-48C4-BF57-E36FC9D10FEB&ID=6018762&M=LD,Pilot then Apr 2023 expansion to 10+ facilities; FMN 2025 reports districtwide approach. Board sole-source renewals NTE ~$250k annually (Legistar 23-1214). Vendor SOC human verification; alerts to staff/LE.,Hernando County Public Schools,
FL,Volusia County Public Schools,traditional_lea,,camera_ai_gun_detect,ZeroEyes,ZeroEyes AI Gun Detection,multi_campus,all secondary schools (district statement); expansion planned,CCTV video frames scanned for visible firearms,unknown,yes,vendor_soc,deployed,2025-05-22,2026-09-13,https://mynews13.com/fl/orlando/news/2025/05/22/volusia-implements-zeroeyes-ai-gun-detection-program-in-public-schools;https://www.clickorlando.com/news/local/2025/05/27/volusia-county-schools-using-ai-to-detect-weapons-on-campus/,District announced ZeroEyes active in all Volusia secondary schools May 2025 (~$50k) after pilot; layered with SROs/Centegix. Exact camera/campus list beyond secondary not published.,Volusia County Public Schools,
FL,Orange County Public Schools,traditional_lea,,device_account_monitor,Gaggle,Gaggle Safety Management,districtwide,,"Student Google Workspace for Education and Microsoft/OneDrive account content (email, chat, files, images, documents) scanned for self-harm, threats, bullying, substance, sexual content",yes,unknown,mixed,deployed,,2026-09-13,https://www.ocps.net/gaggle;https://www.wesh.com/article/lake-nona-high-school-gaggle-program/44680703,Official OCPS Gaggle page: monitors OCPS-issued student Google/Microsoft accounts only (not personal devices/staff). AI + human review; alerts to school officials.,Orange County Public Schools,
FL,Leon County Public Schools,traditional_lea,1201110,camera_ai_gun_detect,ZeroEyes,ZeroEyes AI Gun Detection,districtwide,,CCTV video frames scanned for visible firearms,unknown,yes,vendor_soc,renewed,2023-08-01,2026-09-13,https://www.prnewswire.com/news-releases/leon-county-schools-renews-and-expands-zeroeyes-ai-gun-detection-and-intelligent-situational-awareness-solution-302593778.html|https://news.wfsu.org/wfsu-local-news/2025-11-05/leon-schools-renews-contract-with-gun-ai-detection-company-zeroeyes,Oct 28 2025 PR: renewed after two successful school years and expanding deployment; Chief of Safety Jimmy Williams quoted. First public go-live exact date not independently dated beyond ~two school years prior to Oct 2025 renewal (~2023–24 start). Vendor SOC human verification; alerts to LE/local security in 3–5 seconds.,Leon County Public Schools,
FL,Leon County Public Schools,traditional_lea,1201110,classroom_genai,MagicSchool,MagicSchool AI,districtwide,,Educator (and contracted student) generative-AI lesson planning / instructional assistance prompts and outputs,unknown,unknown,unknown,deployed,2025-06-17,2026-09-13,https://tallahasseereports.com/2025/06/21/leon-county-school-board-meeting-briefs-june-17-2025/|https://www.wtxl.com/downtown-tallahassee/its-a-time-saver-its-a-tool-leon-county-teachers-get-access-to-ai-software-for-classroom-planning,"Board approved 2025–2028 Magic School Inc. contract Jun 17 2025 for $310,800 providing access for every employee and student. WTXL: teachers using for lesson planning; student-side rollout timeline not announced as of Feb 2026 reporting; teachers control which tools students can access.",Leon County Public Schools,
FL,Bay County Public Schools,traditional_lea,1200090,classroom_genai,MagicSchool,MagicSchool AI,districtwide,,Educator generative-AI lesson planning / rubrics / parent-comms assistance; eventual student tools under teacher control,unknown,unknown,unknown,deployed,2025-05-14,2026-09-13,https://www.mypanhandle.com/news/local-news/bay-county/bay-district-school-makes-moves-to-implement-ai-in-the-classroom/,Board approved one-year MagicSchool trial ~$88k (half-cent sales tax). Task force selected MagicSchool over two other products. Year-long teacher-first PD then student rollout with teacher-controlled tool selection (WMBB / mypanhandle May 14 2025).,Bay County Public Schools,
AL,Huntsville City Schools,traditional_lea,,classroom_genai,MagicSchool,MagicSchool AI,districtwide,,Teacher-configured AI chat/research parameters for student classroom research,unknown,unknown,unknown,deployed,2025-01-16,2026-09-13,https://www.huntsvillecityschools.org/o/ges/article/1969554,GES article: MagicSchool provided by Huntsville City Schools; tech coach Amy Carter set parameters for MLK research conversations.,Huntsville City Schools,
AL,Florence City Schools,traditional_lea,,classroom_genai,MagicSchool,MagicSchool AI,districtwide,,Teacher AI for planning/comms/assessment; MagicStudent teacher-created monitored rooms for grades 7-12,yes,unknown,district_soc,deployed,2025-01-01,2026-09-13,https://www.yahoo.com/news/us/articles/florence-city-schools-using-ai-223326908.html,"WHNT: second year of MagicSchool; MagicStudent for grades 7–12 via teacher-created monitored links (ACT prep, tutors, study bots). Curriculum director Thomas Casteel; instructional tech Jennifer Butler.",Florence City Schools,
AL,Morgan County Schools,traditional_lea,,classroom_genai,SchoolAI,SchoolAI,districtwide,,"AI instructional tools for teacher planning, differentiation, student writing/reflection/review",unknown,unknown,unknown,deployed,2025-08-01,2026-09-13,https://www.morgank12.org/digitaltools;https://www.yahoo.com/news/us/articles/morgan-county-schools-prepare-students-001012763.html,Listed on MCS Digital Tools as district-supported; Supt Turrentine described teacher use for lesson planning and leveling passages (WHNT/Yahoo).,Morgan County Schools,
